0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
23.0,35.0,2033.0,61.0,72.0,48.0,510.0,5593.0,23.0,465.0,4240.0,75.0,520.0,6.0,63.0,1619.0,116.0,168.0,2487.0,205.0,84.0,812.0,1173.0,533.0,15.0,2.0,395.0,190.0,130.0,25.0
23.0,72.0,2530.0,81.0,88.0,68.0,586.0,6161.0,20.0,500.0,4605.0,60.0,609.0,11.0,45.0,1878.0,4.0,206.0,2776.0,219.0,127.0,1112.0,2200.0,604.0,10.0,2.0,407.0,237.0,115.0,24.0
19.0,35.0,2258.0,83.0,112.0,42.0,493.0,5715.0,26.0,501.0,4350.0,72.0,469.0,11.0,85.0,1851.0,5.0,277.0,2639.0,187.0,226.0,1044.0,1355.0,439.0,25.0,4.0,431.0,219.0,60.0,19.0
22.0,48.0,2181.0,62.0,104.0,41.0,413.0,5592.0,34.0,503.0,3842.0,63.0,480.0,5.0,72.0,2206.0,6.0,375.0,2513.0,160.0,189.0,901.0,1213.0,434.0,22.0,1.0,544.0,197.0,59.0,11.0
23.0,29.0,2228.0,81.0,81.0,44.0,409.0,5529.0,22.0,501.0,3571.0,55.0,479.0,6.0,75.0,1831.0,5.0,278.0,2605.0,206.0,224.0,1042.0,1292.0,391.0,14.0,1.0,377.0,195.0,57.0,19.0
31.0,33.0,2128.0,89.0,65.0,43.0,405.0,5657.0,22.0,439.0,3608.0,55.0,411.0,7.0,54.0,2004.0,7.0,219.0,2546.0,165.0,182.0,2832.0,1209.0,419.0,9.0,3.0,459.0,201.0,57.0,24.0
29.0,13.0,2157.0,68.0,78.0,47.0,363.0,5555.0,24.0,577.0,3228.0,52.0,387.0,7.0,69.0,1756.0,8.0,256.0,2547.0,157.0,169.0,897.0,1170.0,361.0,23.0,7.0,395.0,180.0,87.0,30.0
25.0,33.0,2366.0,85.0,87.0,51.0,460.0,5588.0,23.0,3325.0,3057.0,85.0,427.0,3.0,104.0,1815.0,3.0,135.0,2433.0,842.0,99.0,911.0,1020.0,488.0,33.0,8.0,518.0,144.0,122.0,54.0
34.0,41.0,2596.0,129.0,84.0,54.0,581.0,6820.0,24.0,626.0,3862.0,61.0,669.0,10.0,63.0,1748.0,6.0,196.0,2524.0,537.0,83.0,885.0,1312.0,519.0,23.0,7.0,488.0,177.0,67.0,41.0
36.0,21.0,2315.0,163.0,72.0,41.0,532.0,6907.0,24.0,498.0,3575.0,53.0,548.0,4.0,59.0,1753.0,3.0,242.0,2645.0,3290.0,202.0,1006.0,1122.0,389.0,12.0,3.0,407.0,185.0,63.0,25.0
44.0,31.0,2169.0,165.0,71.0,59.0,422.0,5902.0,32.0,451.0,3275.0,81.0,416.0,5.0,59.0,1722.0,7.0,243.0,2584.0,349.0,206.0,858.0,1101.0,309.0,15.0,8.0,591.0,197.0,55.0,19.0
