0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
4259.0,2594.0,1818.0,2.0,139.0,1111.0,1229.0,183.0,61.0,335.0,35.0,792.0,24.0,6.0,202.0,1718.0,1840.0,21.0,31.0,2.0,37.0,2.0,626.0,755.0,134.0,57.0,0.0,0.0,0.0,0.0
5948.0,2500.0,2338.0,1.0,177.0,1394.0,984.0,247.0,107.0,357.0,62.0,1330.0,20.0,8.0,278.0,1776.0,1951.0,25.0,32.0,1.0,87.0,5.0,749.0,715.0,122.0,29.0,0.0,0.0,0.0,0.0
6249.0,1874.0,2249.0,1.0,131.0,1245.0,966.0,249.0,42.0,492.0,56.0,963.0,11.0,6.0,332.0,2106.0,4097.0,22.0,22.0,0.0,53.0,2.0,823.0,740.0,153.0,53.0,0.0,0.0,0.0,0.0
4676.0,1371.0,1572.0,1.0,146.0,935.0,855.0,205.0,51.0,536.0,45.0,740.0,14.0,5.0,295.0,1855.0,3471.0,32.0,28.0,0.0,63.0,4.0,753.0,692.0,170.0,83.0,0.0,0.0,0.0,0.0
3338.0,1023.0,1149.0,2.0,174.0,660.0,865.0,224.0,45.0,421.0,37.0,392.0,13.0,3.0,209.0,1796.0,2837.0,24.0,34.0,0.0,41.0,4.0,608.0,726.0,152.0,62.0,0.0,0.0,0.0,0.0
2853.0,947.0,884.0,2.0,144.0,555.0,820.0,228.0,35.0,350.0,40.0,267.0,14.0,3.0,228.0,1801.0,2414.0,54.0,28.0,0.0,40.0,2.0,712.0,719.0,135.0,69.0,0.0,0.0,0.0,0.0
2883.0,1539.0,808.0,2.0,150.0,546.0,709.0,200.0,50.0,337.0,26.0,282.0,18.0,3.0,176.0,1748.0,2221.0,19.0,35.0,2.0,47.0,1.0,572.0,666.0,143.0,54.0,0.0,0.0,0.0,0.0
2600.0,841.0,719.0,3.0,169.0,459.0,874.0,186.0,34.0,276.0,24.0,211.0,18.0,1.0,161.0,1538.0,1864.0,15.0,33.0,1.0,42.0,2.0,677.0,786.0,132.0,53.0,0.0,0.0,0.0,0.0
2420.0,811.0,755.0,3.0,135.0,462.0,664.0,284.0,65.0,277.0,15.0,212.0,13.0,1.0,196.0,1538.0,3363.0,18.0,33.0,1.0,33.0,2.0,589.0,647.0,116.0,36.0,0.0,0.0,0.0,0.0
3050.0,908.0,1078.0,1.0,147.0,541.0,759.0,248.0,56.0,283.0,13.0,296.0,9.0,2.0,279.0,1846.0,3088.0,24.0,24.0,1.0,37.0,3.0,706.0,724.0,124.0,52.0,0.0,0.0,0.0,0.0
3034.0,976.0,1238.0,1.0,187.0,620.0,778.0,280.0,39.0,465.0,35.0,317.0,13.0,4.0,245.0,2063.0,2447.0,43.0,49.0,1.0,50.0,3.0,618.0,547.0,137.0,76.0,0.0,0.0,0.0,0.0
2468.0,829.0,717.0,4.0,216.0,535.0,713.0,278.0,36.0,325.0,35.0,233.0,8.0,5.0,163.0,1912.0,2290.0,46.0,54.0,0.0,39.0,2.0,551.0,577.0,259.0,92.0,0.0,0.0,0.0,0.0
2198.0,730.0,663.0,1.0,234.0,423.0,697.0,296.0,50.0,324.0,25.0,201.0,34.0,2.0,166.0,1942.0,2264.0,80.0,51.0,3.0,43.0,1.0,570.0,598.0,208.0,74.0,0.0,0.0,0.0,0.0
